MovieID,Title,Genre,ReleaseYear,Budget,BoxOffice,IMDbRating,Duration,Director
1,Space Odyssey,sci fi,2020,150,550,8.3,140,J. Nolan
2,Laugh Out Loud,Comedy,2019,20,75,,95,A. Smith
3,Drama Queen,Drama,2018,10,45,7.5,110,M. Johnson
4,Alien Encounter,sci fi,2021,200 million,600,8.5,130,S. Ridley
5,Family Ties,Drama,2017,15,40,6.8,105,L. Brown
6,Comic Relief,Comedy,2020,25,80,7,Two hours,T. Lee
7,The Last Hero,Action,2019,100,400,7.8,125,J. Carter
8,Mystery Manor,Thriller,2018,30,120,7.3,115,K. Wilson
9,Love in Paris,Romance,2021,18,60,6.9,98,M. Davis
10,Galactic Wars,sci fi,2019,175,580,,135,F. Abrams
11,Fun Times,Comedy,2017,22,70,6.7,90,J. Miller
12,Ocean Depths,Drama,2020,14,38,7.1,102,S. Jackson
13,Speed Chase,Action,2018,95,350,7.6,120,R. Scott
14,Haunted Nights,Horror,2021,35,130,7.4,110,L. King
15,Dreamland,Fantasy,2019,50,210,,125,A. Parker
16,The Comedians,Comedy,2018,20,65,7.1,93,D. Rivera
17,Final Frontier,sci fi,2017,160,540,8.1,138,G. Lucas
18,City Lights,Drama,2019,12 million,42,7.3,108,N. Foster
19,Battle Zone,Action,2021,110,420,7.7,130,M. Bay
20,Midnight Whisper,Thriller,2020,28,115,7.2,112,S. King
21,Romantic Escape,Romance,2018,17,55,6.8,97,E. Brooks
22,Jungle Quest,Adventure,2019,45,190,,Two hours,T. Anderson
23,Laugh Riot,Comedy,2021,25,85,7.3,99,P. Martinez
24,Lost City,Adventure,2017,40,175,7.6,120,V. Evans
25,Night Terror,Horror,2019,38,125,7.4,108,J. Taylor
26,The Artist,Drama,2020,14,39,7,105,H. Mitchell
27,Speed Racer,Action,2018,90,340,7.5,118,K. Wright
28,Magical World,Fantasy,2021,55,220,8,130,L. Adams
29,Family Matters,Drama,2019,16,44,6.9,107,C. Johnson
30,Ghost Story,Horror,2017,32,115,,112,R. Scott
31,Star Fighters,sci fi,2020,170,560,8.4,136,G. Lucas
32,Comedic Relief,Comedy,2018,23,72,7,92,D. Rivera
33,Hidden Truth,Thriller,2019,29,118,7.2,114,S. King
34,Love & War,Romance,2021,19,58,7.1,100,M. Davis
35,Desert Storm,Action,2017,105,430,7.8,127,J. Carter
36,Ocean’s Secret,Adventure,2020,43,185,7.5,122,T. Anderson
37,Dark Shadows,Horror,2019,37,120,7.3,110,L. King
38,Dream Catcher,Fantasy,2018,48,205,7.8,Two hours,A. Parker
39,Final Hour,Thriller,2020,31 million,110,7.1,109,K. Wilson
40,The Last Laugh,Comedy,2017,21,68,6.9,94,J. Miller
10,Galactic Wars,sci fi,2019,175,580,,135,F. Abrams
25,Night Terror,Horror,2019,38,125,7.4,108,J. Taylor
38,Dream Catcher,Fantasy,2018,48,205,7.8,Two hours,A. Parker
